CUST_KEY,NAME,ADDRESS,NATION_NAME,PHONE,ACCT_BAL,MKT_SEGMENT
1149,Customer#000001149,5JOAwCy8MD70TUZJDyxgEBMe,CANADA,13-254-242-3889,6287.79,MACHINERY
1153,Customer#000001153,"SYG3KMj1fMh7GwvIZ,pY7mGLR1NT6EmNjE",CANADA,13-319-420-5160,6244.03,HOUSEHOLD
1207,Customer#000001207,"tDZe2FlIxGjrf9x,n6N1tu0DbWyUkSSu",CANADA,13-572-474-7362,-556.05,AUTOMOBILE
1216,Customer#000001216,CSf1BbFhJhucmvftOwYLQACMEqgXj,CANADA,13-673-633-4561,2155.06,AUTOMOBILE
1241,Customer#000001241,74mW8ipfvoVPR3PS,CANADA,13-902-876-1609,8654.56,HOUSEHOLD
1258,Customer#000001258,zK3TKgKVuFCBdjt,CANADA,13-727-588-7092,-301.75,AUTOMOBILE
1262,Customer#000001262,u39WRGDI6AKU,CANADA,13-444-583-3984,2840.36,MACHINERY
1266,Customer#000001266,LW7shrnoCLUjJKQI8EF7SIFofvvIUmiJzpdS,CANADA,13-832-768-3873,1877.05,MACHINERY
1288,Customer#000001288,wQDTTCkSGxic2d66,CANADA,13-533-256-9320,6603.43,HOUSEHOLD
1307,Customer#000001307,L OAVSFQauP87kLdHouM8,CANADA,13-970-299-8199,4344.52,MACHINERY
1312,Customer#000001312,f5zgMB4MHLMSHaX0tDduHAmVd4,CANADA,13-153-492-9898,9459.50,BUILDING
1350,Customer#000001350,"fc,TCo2zqB9T3C5IbaGkfV3,hLqLr",CANADA,13-486-903-2349,3339.51,AUTOMOBILE
1358,Customer#000001358,t23gsl4TdVXqTZha DioEHIq5w7y,CANADA,13-264-253-1258,5149.23,BUILDING
1385,Customer#000001385,4jAtwsWIITPzhTIx7jblhjp9aAzejEGnu,CANADA,13-693-138-5884,2326.75,BUILDING
1394,Customer#000001394,eE8wv lYYKLXB,CANADA,13-580-581-6470,2233.10,MACHINERY
1396,Customer#000001396,M4dHuyrttFfeBr,CANADA,13-523-516-9742,7149.43,BUILDING
1429,Customer#000001429,K5sID 6zGPrYdfoADUq4kidlPgF3,CANADA,13-119-903-3814,6444.82,AUTOMOBILE
1450,Customer#000001450,z7Pl iXBEstivMNf,CANADA,13-443-688-6724,857.70,MACHINERY
1455,Customer#000001455,MrDN0cvhoLZ ioRLZCR hPcY4WvILz2,CANADA,13-839-360-1866,7591.90,MACHINERY
1458,Customer#000001458,vsGifZH3fNgJjlgF6jJbmkSqGc,CANADA,13-392-503-9207,2716.80,AUTOMOBILE
1461,Customer#000001461,MMmT5l0zAilFCb2ZMqsUm3TXlRH,CANADA,13-393-444-1533,8460.48,AUTOMOBILE
1496,Customer#000001496,ZOyMxutVHpJy,CANADA,13-802-978-9538,-496.49,AUTOMOBILE
1499,Customer#000001499,"4,6jWOEqfnuXkwhB7gs0M9TcWJlaJNv4bt",CANADA,13-273-527-9609,9128.69,AUTOMOBILE
1579,Customer#000001579,TI4GCerFzw2UgqQdzJ94,CANADA,13-255-948-9257,4763.17,AUTOMOBILE
1595,Customer#000001595,"bJ6tl8L3gexrf9rdD,Nn9ojzg92",CANADA,13-153-638-7545,1151.78,MACHINERY
1651,Customer#000001651,"whCw6gMwEuls sCrsaB,DQI0,",CANADA,13-593-198-5028,1614.35,AUTOMOBILE
1673,Customer#000001673,uQi2r9akwS4LNd7XQEa,CANADA,13-713-161-3704,5714.73,HOUSEHOLD
1674,Customer#000001674,"VDSnyhnkkFA1CKYDjdMx4Hpt1QaZ4g,1cy9Fnr",CANADA,13-396-137-7834,4568.47,BUILDING
1688,Customer#000001688,KE2TYjMt08,CANADA,13-420-827-4701,3929.06,BUILDING
1701,Customer#000001701,"IbyUBDvH,eRszYTbnEDHGu16B4UsJSbQaA7F ",CANADA,13-397-730-2856,9986.13,FURNITURE
1717,Customer#000001717,"HufIAAW0Xbs3qoYpAVxk4KKvm,F",CANADA,13-450-115-4347,1715.40,MACHINERY
1755,Customer#000001755,emfcQnwjix1Ul0eKbHP,CANADA,13-333-888-8618,5389.05,MACHINERY
1783,Customer#000001783,ey2RVFXAj5c1qisLEFJA43S2,CANADA,13-239-528-2710,8131.81,BUILDING
1801,Customer#000001801,8ZC3HFVDQGf23cjelZL0wa,CANADA,13-994-265-8339,6806.86,MACHINERY
1813,Customer#000001813,xEoR4tsV2Bse527UyeFO8aFhmZ,CANADA,13-604-485-5526,9074.92,FURNITURE
1826,Customer#000001826,"tbWBFvYUZjBY,BH5r5CQsA71GJIQJNx",CANADA,13-389-673-9030,3891.76,BUILDING
1833,Customer#000001833,KluDIF0rSvGj8mjBA vo7db1bA,CANADA,13-425-435-3864,3418.04,BUILDING
1840,Customer#000001840,"cMNMPjKib0Ez0Bl,cesLvkOl39p4oiUH ",CANADA,13-833-461-5939,6879.93,BUILDING
1851,Customer#000001851,n873H6Cz5A9uHamGSt iIs3,CANADA,13-311-225-1271,4290.76,BUILDING
1873,Customer#000001873,"fvkv57 kYzsIjzXH9,csoT7smnh pObla4,",CANADA,13-581-396-9191,-201.93,BUILDING
1882,Customer#000001882,U3c UftfresD4TjzRl8F,CANADA,13-454-520-9987,5785.07,HOUSEHOLD
1902,Customer#000001902,03 VVAFfgEADO1Ert upreETF9E9i1QUgy53i,CANADA,13-815-127-1409,5019.36,BUILDING
1937,Customer#000001937,mXJvkSoAwpg1wVW45,CANADA,13-166-456-2309,-866.47,FURNITURE
1942,Customer#000001942,5 eTPX2yTp49JPctgc1EeYMUSWm,CANADA,13-500-263-4736,-947.24,MACHINERY
1943,Customer#000001943,"sH4nc83Lh,6A2xe9ApH6WD",CANADA,13-737-218-4651,5599.71,AUTOMOBILE
2018,Customer#000002018,eKAhxd3gdiGEQMlB4h0jzS93G3qnk9FpSe3D,CANADA,13-139-998-8060,8135.51,MACHINERY
2037,Customer#000002037,LtDKSknsGYs0JAr4GMkey1y0NJCYBEOK60Sk KG,CANADA,13-310-615-6464,4557.88,BUILDING
2083,Customer#000002083,"MPZyv,EfwrehnKLWgD7",CANADA,13-392-701-2286,7601.41,FURNITURE
2159,Customer#000002159,jR6oC45sJG,CANADA,13-463-762-8018,4471.84,BUILDING
2164,Customer#000002164,"GH3xzMl7iZmO 57FxA39ADAOcew,v,dT",CANADA,13-258-868-1537,588.88,MACHINERY
2189,Customer#000002189,giuxWAuaojICwCJuOnC9qo9,CANADA,13-987-848-4250,8342.10,AUTOMOBILE
2215,Customer#000002215,R0gKVPmbmeQbi0ytatCTyRzr1nq3,CANADA,13-874-432-7443,5712.30,FURNITURE
2227,Customer#000002227," SEYwZbWYuJ,02oKOpjUCFuum",CANADA,13-157-687-8744,-147.42,FURNITURE
2255,Customer#000002255,CjGNhG4CajWoTq7TUme 9DSwR20eLMHHC,CANADA,13-277-224-2045,7244.63,MACHINERY
