emp_id,first_name,last_name,date_of_birth,date_of_joining,email_address,department,designation,level,office_location,active
157,Shirley,Moody,1984-05-03,2021-06-16,shirley.moody_157@desimplified.com,Research & Development,Regulatory Affairs Specialist,L2,Mumbai,Yes
158,William,Soto,1995-02-25,2019-12-30,william.soto_158@desimplified.com,Clinical Operations,Biostatistician,L1,Nara,Yes
159,Diana,Cruz,1989-12-11,2021-05-24,diana.cruz_159@desimplified.com,Sales,Legal Counsel,L5,Montpellier,Yes
160,Katie,Travis,1979-05-29,2022-04-19,katie.travis_160@desimplified.com,Research & Development,Quality Assurance Manager,L4,Kyoto,Yes
161,Jack,Huff,1963-09-18,2019-08-04,jack.huff_161@desimplified.com,Support,Team Leader,L1,Cardiff,Yes
162,Matthew,Lewis,1977-01-29,2020-04-17,matthew.lewis_162@desimplified.com,Medical Affairs,Finance Controller,L1,Toulouse,Yes
163,Janet,Hoffman,1970-12-18,2020-03-28,janet.hoffman_163@desimplified.com,Compliance,Manager,L2,Grenoble,Yes
164,Patrick,Chavez,1986-02-10,2023-09-12,patrick.chavez_164@desimplified.com,Quality Assurance,Drug Safety Specialist,L5,Mumbai,Yes
165,Donna,Fuentes,1960-04-01,2021-06-23,donna.fuentes_165@desimplified.com,Medical Affairs,Director,L5,Ahmedabad,Yes
166,Stephanie,Mitchell,1984-05-30,2023-10-17,stephanie.mitchell_166@desimplified.com,Finance,Team Leader,L2,Boston,Yes
167,Jessica,Hicks,1993-04-12,2020-04-30,jessica.hicks_167@desimplified.com,Supply Chain Management,Systems Analyst,L5,Ahmedabad,Yes
168,Gary,Bradshaw,1997-11-28,2021-03-09,gary.bradshaw_168@desimplified.com,Marketing,Research Scientist,L1,Sheffield,Yes
169,Lauren,Summers,1983-10-08,2020-04-15,lauren.summers_169@desimplified.com,Legal,Finance Controller,L3,Reims,Yes
170,Victoria,Green,1976-11-13,2021-10-10,victoria.green_170@desimplified.com,Legal,Clinical Research Associate,L1,Bristol,Yes
171,Michelle,Hamilton,1987-09-25,2019-09-12,michelle.hamilton_171@desimplified.com,Supply Chain Management,Vice President,L3,Kanpur,Yes
172,Aaron,Love,1987-08-20,2019-11-14,aaron.love_172@desimplified.com,Support,Systems Analyst,L5,Sendai,Yes
173,Daniel,Williams,1999-05-08,2023-11-08,daniel.williams_173@desimplified.com,Finance,Data Analyst,L1,Kobe,Yes
174,Jonathon,Taylor,1997-08-09,2019-02-24,jonathon.taylor_174@desimplified.com,Clinical Operations,IT Project Manager,L2,Nara,Yes
175,Joann,Gay,1966-05-07,2019-10-13,joann.gay_175@desimplified.com,Regulatory Affairs,Manager,L2,Nottingham,Yes
176,Jennifer,Miller,1994-06-10,2020-06-23,jennifer.miller_176@desimplified.com,Research & Development,Data Analyst,L2,Rennes,Yes
177,Aaron,Warren,1973-09-19,2021-10-27,aaron.warren_177@desimplified.com,IT,Data Analyst,L5,Boston,Yes
178,Ryan,Rosales,1977-03-18,2021-05-27,ryan.rosales_178@desimplified.com,Research & Development,Manager,L2,Marseille,Yes
179,Kevin,Welch,1991-10-06,2022-01-09,kevin.welch_179@desimplified.com,IT,Finance Controller,L5,Pune,Yes
180,Robin,Gutierrez,1995-02-27,2021-02-18,robin.gutierrez_180@desimplified.com,Clinical Operations,Medical Writer,L1,Mumbai,Yes
181,Terri,Hubbard,1980-07-10,2019-06-20,terri.hubbard_181@desimplified.com,Finance,Director,L5,Leicester,Yes
182,April,Shelton,1992-11-12,2021-10-08,april.shelton_182@desimplified.com,Medical Affairs,Team Leader,L5,Lyon,Yes
183,Elizabeth,Harris,1964-12-05,2020-06-08,elizabeth.harris_183@desimplified.com,Legal,Director,L3,San Francisco,Yes
184,Timothy,Bailey,1985-08-17,2020-08-01,timothy.bailey_184@desimplified.com,Sales,Manager,L3,Newcastle,Yes
185,Haley,Robbins,1990-09-16,2019-02-10,haley.robbins_185@desimplified.com,Finance,Director,L3,Montpellier,Yes
186,Mary,Miranda,1973-07-05,2019-02-20,mary.miranda_186@desimplified.com,Finance,Data Analyst,L2,Strasbourg,Yes
187,Angela,Richards,1983-01-27,2023-06-04,angela.richards_187@desimplified.com,Clinical Operations,Senior Vice President,L2,Grenoble,Yes
188,Paul,Ramos,1991-07-05,2021-10-08,paul.ramos_188@desimplified.com,Quality Assurance,Quality Assurance Manager,L5,Toulouse,Yes
189,John,Vincent,1998-05-21,2023-12-25,john.vincent_189@desimplified.com,Support,Legal Counsel,L2,Boston,Yes
190,Ryan,French,1975-05-11,2020-09-28,ryan.french_190@desimplified.com,Sales,Supply Chain Manager,L1,Glasgow,Yes
191,Denise,Newman,1958-10-15,2023-07-27,denise.newman_191@desimplified.com,Finance,Clinical Research Associate,L4,Lyon,Yes
192,Jennifer,Mccoy,1982-04-08,2020-07-15,jennifer.mccoy_192@desimplified.com,Regulatory Affairs,Supply Chain Manager,L5,Nagasaki,Yes
193,Christina,Morgan,1959-06-22,2021-05-15,christina.morgan_193@desimplified.com,Research & Development,HR Business Partner,L1,Fukuoka,Yes
194,Jason,Richardson,1989-05-28,2020-06-29,jason.richardson_194@desimplified.com,Legal,Systems Analyst,L1,Bristol,Yes
195,David,Jones,1998-03-08,2019-09-05,david.jones_195@desimplified.com,Production,Research Scientist,L4,Leeds,Yes
196,Nicole,Bishop,1983-02-16,2023-09-16,nicole.bishop_196@desimplified.com,Sales,Drug Safety Specialist,L1,Cardiff,Yes
197,Larry,Jones,1985-12-20,2021-12-26,larry.jones_197@desimplified.com,Medical Affairs,Senior Auditor,L3,Nagoya,Yes
198,Joseph,Miller,1974-07-05,2022-01-02,joseph.miller_198@desimplified.com,Regulatory Affairs,Regulatory Affairs Specialist,L4,Strasbourg,Yes
199,Javier,Colon,1962-08-01,2023-08-01,javier.colon_199@desimplified.com,HR,Finance Controller,L5,Pune,Yes
200,Brandi,Massey,1976-03-06,2021-12-25,brandi.massey_200@desimplified.com,Legal,Finance Controller,L4,Delhi,Yes
